年份,縣市,鄉鎮市區,里別,實體街區真實消費產值(百萬元),台電低壓營業用電量指數,電信人潮與停留時長指數,店面空置與業態降級率(%),地表真實街景狀態
1995,花蓮縣,花蓮市,國聯里,250.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,國興里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,國華里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,國裕里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,國防里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,國風里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,國魂里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民主里,180.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民享里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民勤里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民孝里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民德里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民心里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民意里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民政里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民族里,120.0,45.0,20.0,15.0,尚未啟用（原舊鐵路花蓮工務段/空地，夜市活動在南濱與自強）
1995,花蓮縣,花蓮市,民有里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民樂里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民權里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民治里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民生里,180.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民立里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,民運里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,主信里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,主力里,685.0,103.2,85.0,2.6,金三角全盛初期，中山/中正路店面一位難求
1996,花蓮縣,花蓮市,主勤里,332.0,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,主和里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,主商里,685.0,103.2,85.0,2.6,金三角全盛初期，中山/中正路店面一位難求
1996,花蓮縣,花蓮市,主學里,332.0,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,主安里,332.0,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,主工里,685.0,103.2,85.0,2.6,金三角全盛初期，中山/中正路店面一位難求
1996,花蓮縣,花蓮市,主權里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,主睦里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,主義里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,主計里,332.0,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,主農里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國光里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國威里,685.0,103.2,85.0,2.6,金三角全盛初期，中山/中正路店面一位難求
1996,花蓮縣,花蓮市,國安里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國富里,253.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國強里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國慶里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國治里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國盛里,253.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國福里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國聯里,253.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國興里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國華里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國裕里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國防里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國風里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,國魂里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民主里,192.0,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民享里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民勤里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民孝里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民德里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民心里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民意里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民政里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民族里,128.0,45.0,20.0,15.0,尚未啟用（原舊鐵路花蓮工務段/空地，夜市活動在南濱與自強）
1996,花蓮縣,花蓮市,民有里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民樂里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民權里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民治里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民生里,192.0,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民立里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1996,花蓮縣,花蓮市,民運里,123.5,81.5,31.0,5.2,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,主信里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,主力里,720.0,106.4,90.0,2.7,金三角全盛初期，中山/中正路店面一位難求
1997,花蓮縣,花蓮市,主勤里,344.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,主和里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,主商里,720.0,106.4,90.0,2.7,金三角全盛初期，中山/中正路店面一位難求
1997,花蓮縣,花蓮市,主學里,344.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,主安里,344.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,主工里,720.0,106.4,90.0,2.7,金三角全盛初期，中山/中正路店面一位難求
1997,花蓮縣,花蓮市,主權里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,主睦里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,主義里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,主計里,344.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,主農里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國光里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國威里,720.0,106.4,90.0,2.7,金三角全盛初期，中山/中正路店面一位難求
1997,花蓮縣,花蓮市,國安里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國富里,257.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國強里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國慶里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國治里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國盛里,257.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國福里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國聯里,257.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國興里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國華里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國裕里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國防里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國風里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,國魂里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民主里,204.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民享里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民勤里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民孝里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民德里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民心里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民意里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民政里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民族里,136.0,45.0,20.0,15.0,尚未啟用（原舊鐵路花蓮工務段/空地，夜市活動在南濱與自強）
1997,花蓮縣,花蓮市,民有里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民樂里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民權里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民治里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民生里,204.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民立里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1997,花蓮縣,花蓮市,民運里,127.0,83.0,32.0,5.4,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,主信里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,主力里,755.0,109.6,95.0,2.8,金三角全盛初期，中山/中正路店面一位難求
1998,花蓮縣,花蓮市,主勤里,356.0,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,主和里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,主商里,755.0,109.6,95.0,2.8,金三角全盛初期，中山/中正路店面一位難求
1998,花蓮縣,花蓮市,主學里,356.0,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,主安里,356.0,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,主工里,755.0,109.6,95.0,2.8,金三角全盛初期，中山/中正路店面一位難求
1998,花蓮縣,花蓮市,主權里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,主睦里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,主義里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,主計里,356.0,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,主農里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國光里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國威里,755.0,109.6,95.0,2.8,金三角全盛初期，中山/中正路店面一位難求
1998,花蓮縣,花蓮市,國安里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國富里,260.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國強里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國慶里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國治里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國盛里,260.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國福里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國聯里,260.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國興里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國華里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國裕里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國防里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國風里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,國魂里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民主里,216.0,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民享里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民勤里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民孝里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民德里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民心里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民意里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民政里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民族里,144.0,45.0,20.0,15.0,尚未啟用（原舊鐵路花蓮工務段/空地，夜市活動在南濱與自強）
1998,花蓮縣,花蓮市,民有里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民樂里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民權里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民治里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民生里,216.0,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民立里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1998,花蓮縣,花蓮市,民運里,130.5,84.5,33.0,5.6,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,主信里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,主力里,790.0,112.8,100.0,2.9,金三角全盛初期，中山/中正路店面一位難求
1999,花蓮縣,花蓮市,主勤里,368.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,主和里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,主商里,790.0,112.8,100.0,2.9,金三角全盛初期，中山/中正路店面一位難求
1999,花蓮縣,花蓮市,主學里,368.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,主安里,368.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,主工里,790.0,112.8,100.0,2.9,金三角全盛初期，中山/中正路店面一位難求
1999,花蓮縣,花蓮市,主權里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,主睦里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,主義里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,主計里,368.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,主農里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國光里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國威里,790.0,112.8,100.0,2.9,金三角全盛初期，中山/中正路店面一位難求
1999,花蓮縣,花蓮市,國安里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國富里,264.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國強里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國慶里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國治里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國盛里,264.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國福里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國聯里,264.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國興里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國華里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國裕里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國防里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國風里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,國魂里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民主里,228.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民享里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民勤里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民孝里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民德里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民心里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民意里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民政里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民族里,152.0,45.0,20.0,15.0,尚未啟用（原舊鐵路花蓮工務段/空地，夜市活動在南濱與自強）
1999,花蓮縣,花蓮市,民有里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民樂里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民權里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民治里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民生里,228.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民立里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
1999,花蓮縣,花蓮市,民運里,134.0,86.0,34.0,5.8,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,主信里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,主力里,825.0,116.0,105.0,3.0,三中商圈黃金期，大禹街服飾與名牌聚集，夜間燈火通明
2000,花蓮縣,花蓮市,主勤里,380.0,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,主和里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,主商里,825.0,116.0,105.0,3.0,三中商圈黃金期，大禹街服飾與名牌聚集，夜間燈火通明
2000,花蓮縣,花蓮市,主學里,380.0,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,主安里,380.0,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,主工里,825.0,116.0,105.0,3.0,三中商圈黃金期，大禹街服飾與名牌聚集，夜間燈火通明
2000,花蓮縣,花蓮市,主權里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,主睦里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,主義里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,主計里,380.0,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,主農里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國光里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國威里,825.0,116.0,105.0,3.0,三中商圈黃金期，大禹街服飾與名牌聚集，夜間燈火通明
2000,花蓮縣,花蓮市,國安里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國富里,267.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國強里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國慶里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國治里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國盛里,267.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國福里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國聯里,267.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國興里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國華里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國裕里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國防里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國風里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,國魂里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,民主里,240.0,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,民享里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,民勤里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,民孝里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,民德里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,民心里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,民意里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,民政里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,民族里,160.0,45.0,20.0,15.0,尚未啟用（原舊鐵路花蓮工務段/空地，夜市活動在南濱與自強）
2000,花蓮縣,花蓮市,民有里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,民樂里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,民權里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
2000,花蓮縣,花蓮市,民治里,137.5,87.5,35.0,6.0,花蓮市區一般住商混合區
