年份,縣市,鄉鎮市區,里別,實體獨立門牌數,實體街區真實消費產值(百萬元),台電低壓營業用電量指數,電信人潮與停留時長指數,店面空置與業態降級率(%),地表真實街景狀態,存續營利事業累積家數,該年新設家數,開立發票店家數,登記資本總額(元),登記資本總額(萬元),平均資本額(元),申報體系推估銷售額(千元)
1995,花蓮縣,花蓮市,國聯里,63,81.9,80.2,36.3,7.6,國聯里常民生活與社區商業,84,2,47,1496092840,149609.3,17810629,1026387.4
1995,花蓮縣,花蓮市,國興里,12,20.0,76.0,31.2,4.8,國興里常民生活與社區商業,12,1,7,145399000,14539.9,12116583,144731.9
1995,花蓮縣,花蓮市,國華里,28,30.1,77.3,32.8,4.4,國華里常民生活與社區商業,29,5,15,41593000,4159.3,1434241,301027.4
1995,花蓮縣,花蓮市,國裕里,42,54.3,78.5,34.2,5.6,國裕里常民生活與社區商業,51,6,31,752445410,75244.5,14753831,641495.6
1995,花蓮縣,花蓮市,國防里,8,20.0,75.7,30.8,4.0,國防里常民生活與社區商業,8,1,5,13486000,1348.6,1685750,93978.9
1995,花蓮縣,花蓮市,國風里,37,42.1,78.1,33.7,5.2,國風里常民生活與社區商業,38,1,22,91255000,9125.5,2401447,426700.4
1995,花蓮縣,花蓮市,國魂里,21,26.6,76.8,32.1,5.2,國魂里常民生活與社區商業,22,2,15,783314300,78331.4,35605195,333765.1
1995,花蓮縣,花蓮市,民主里,14,21.4,80.0,40.0,5.0,民主里常民生活與社區商業,14,0,1,104981000,10498.1,7498642,74098.5
1995,花蓮縣,花蓮市,民享里,19,20.2,76.6,31.9,5.6,民享里常民生活與社區商業,19,0,10,68824000,6882.4,3622315,202705.9
1995,花蓮縣,花蓮市,民勤里,15,20.0,76.2,31.5,4.8,民勤里常民生活與社區商業,16,2,9,53351000,5335.1,3334437,177568.1
1995,花蓮縣,花蓮市,民孝里,25,30.7,77.1,32.5,4.4,民孝里常民生活與社區商業,30,3,17,226811000,22681.1,7560366,344644.9
1995,花蓮縣,花蓮市,民德里,14,20.0,76.2,31.4,4.8,民德里常民生活與社區商業,14,1,6,14619000,1461.9,1044214,129369.5
1995,花蓮縣,花蓮市,民心里,77,117.0,81.4,37.7,4.4,民心里常民生活與社區商業,79,2,73,1273137500,127313.8,16115664,1314551.0
1995,花蓮縣,花蓮市,民意里,10,20.0,75.8,31.0,4.0,民意里常民生活與社區商業,10,0,7,240752000,24075.2,24075200,144760.2
1995,花蓮縣,花蓮市,民政里,26,28.0,77.2,32.6,4.0,民政里常民生活與社區商業,26,1,14,90223848,9022.4,3470148,281017.9
1995,花蓮縣,花蓮市,民族里,31,35.0,40.0,15.0,12.0,尚未開放（原舊鐵路工務段/空地，夜市在南濱與自強）,34,1,12,247521000,24752.1,7280029,299001.7
1995,花蓮縣,花蓮市,民有里,3,20.0,75.2,30.3,4.0,民有里常民生活與社區商業,3,0,0,106000,10.6,35333,11408.5
1995,花蓮縣,花蓮市,民樂里,3,20.0,75.2,30.3,4.0,民樂里常民生活與社區商業,3,0,0,133000,13.3,44333,11410.6
1995,花蓮縣,花蓮市,民權里,5,20.0,75.4,30.5,4.0,民權里常民生活與社區商業,5,0,2,2058000,205.8,411600,44164.6
1995,花蓮縣,花蓮市,民治里,0,20.0,75.0,30.0,4.0,民治里常民生活與社區商業,0,0,0,0,0.0,0,0.0
1995,花蓮縣,花蓮市,民生里,76,160.8,80.0,40.0,5.0,民生里常民生活與社區商業,79,5,21,49225000,4922.5,623101,566638.0
1995,花蓮縣,花蓮市,民立里,6,20.0,75.5,30.6,4.4,民立里常民生活與社區商業,7,0,5,20004000,2000.4,2857714,90700.3
1995,花蓮縣,花蓮市,民運里,44,40.1,78.7,34.4,5.2,民運里常民生活與社區商業,45,1,17,228855000,22885.5,5085666,401808.4
1996,花蓮縣,花蓮市,主信里,28,26.8,78.5,33.6,4.5,主信里常民生活與社區商業,29,1,11,75246000,7524.6,2594689,253719.7
1996,花蓮縣,花蓮市,主力里,64,386.1,103.5,95.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,64,2,40,183724000,18372.4,2870687,757897.9
1996,花蓮縣,花蓮市,主勤里,30,32.3,78.7,33.8,4.9,主勤里常民生活與社區商業,31,1,15,68898000,6889.8,2222516,310811.8
1996,花蓮縣,花蓮市,主和里,33,32.7,79.0,34.1,4.5,主和里常民生活與社區商業,34,3,14,52398000,5239.8,1541117,308391.8
1996,花蓮縣,花蓮市,主商里,34,202.6,103.5,95.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,34,2,19,1041374000,104137.4,30628647,450009.9
1996,花蓮縣,花蓮市,主學里,25,26.3,78.3,33.3,7.3,主學里常民生活與社區商業,25,3,12,19219000,1921.9,768760,246537.5
1996,花蓮縣,花蓮市,主安里,26,26.9,78.4,33.4,6.1,主安里常民生活與社區商業,28,3,12,133017000,13301.7,4750607,267041.4
1996,花蓮縣,花蓮市,主工里,20,115.9,103.5,95.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,20,0,9,8411000,841.1,420550,189172.9
1996,花蓮縣,花蓮市,主權里,53,61.0,80.6,36.1,6.9,主權里常民生活與社區商業,53,5,30,116568000,11656.8,2199396,585725.4
1996,花蓮縣,花蓮市,主睦里,32,28.8,78.9,34.0,4.9,主睦里常民生活與社區商業,32,3,11,80662000,8066.2,2520687,265553.0
1996,花蓮縣,花蓮市,主義里,12,20.0,77.2,32.0,4.1,主義里常民生活與社區商業,13,0,3,4507000,450.7,346692,87260.6
1996,花蓮縣,花蓮市,主計里,16,20.0,77.5,32.4,4.5,主計里常民生活與社區商業,16,1,3,37526000,3752.6,2345375,101302.1
1996,花蓮縣,花蓮市,主農里,32,33.3,78.9,34.0,4.9,主農里常民生活與社區商業,32,2,15,25714000,2571.4,803562,311157.1
1996,花蓮縣,花蓮市,國光里,30,30.0,78.7,33.8,4.5,國光里常民生活與社區商業,30,1,13,36778000,3677.8,1225933,279442.2
1996,花蓮縣,花蓮市,國威里,38,228.1,103.5,95.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,40,1,22,354426000,35442.6,8860650,455354.1
1996,花蓮縣,花蓮市,國安里,23,21.9,78.1,33.1,4.9,國安里常民生活與社區商業,24,2,9,37089000,3708.9,1545375,206667.1
1996,花蓮縣,花蓮市,國富里,61,69.6,81.3,36.9,5.3,國富里常民生活與社區商業,64,5,34,69421900,6942.2,1084717,673753.8
1996,花蓮縣,花蓮市,國強里,18,25.0,77.7,32.6,4.9,國強里常民生活與社區商業,20,3,14,69615000,6961.5,3480750,256569.2
1996,花蓮縣,花蓮市,國慶里,16,20.6,77.5,32.4,4.5,國慶里常民生活與社區商業,16,1,11,2490725745,249072.6,155670359,397558.1
1996,花蓮縣,花蓮市,國治里,23,23.1,78.1,33.1,5.7,國治里常民生活與社區商業,23,2,10,57693400,5769.3,2508408,217015.5
1996,花蓮縣,花蓮市,國盛里,26,32.5,78.4,33.4,8.5,國盛里常民生活與社區商業,34,2,17,102330000,10233.0,3009705,349886.4
1996,花蓮縣,花蓮市,國福里,8,20.0,76.9,31.6,4.5,國福里常民生活與社區商業,8,2,5,11243000,1124.3,1405375,93799.4
1996,花蓮縣,花蓮市,國聯里,68,94.5,81.9,37.6,7.7,國聯里常民生活與社區商業,90,6,53,1506932840,150693.3,16743698,1125054.6
1996,花蓮縣,花蓮市,國興里,15,20.0,77.5,32.3,4.9,國興里常民生活與社區商業,15,3,7,145420000,14542.0,9694666,156133.6
1996,花蓮縣,花蓮市,國華里,28,31.3,78.5,33.6,4.5,國華里常民生活與社區商業,29,0,15,41593000,4159.3,1434241,301027.4
1996,花蓮縣,花蓮市,國裕里,44,62.0,79.9,35.2,5.7,國裕里常民生活與社區商業,55,4,35,820145410,82014.5,14911734,712111.6
1996,花蓮縣,花蓮市,國防里,8,20.0,76.9,31.6,4.1,國防里常民生活與社區商業,10,2,7,17886000,1788.6,1788600,126930.9
1996,花蓮縣,花蓮市,國風里,37,43.8,79.3,34.5,5.3,國風里常民生活與社區商業,38,0,22,91255000,9125.5,2401447,426700.4
1996,花蓮縣,花蓮市,國魂里,21,27.7,78.0,32.9,5.3,國魂里常民生活與社區商業,22,0,15,783314300,78331.4,35605195,333765.1
1996,花蓮縣,花蓮市,民主里,15,30.7,81.5,41.2,5.0,民主里常民生活與社區商業,15,1,1,104984000,10498.4,6998933,77898.7
1996,花蓮縣,花蓮市,民享里,20,22.7,77.9,32.8,5.7,民享里常民生活與社區商業,20,1,11,69024000,6902.4,3451200,219021.9
1996,花蓮縣,花蓮市,民勤里,17,21.1,77.6,32.5,4.9,民勤里常民生活與社區商業,18,2,11,53373400,5337.3,2965188,210169.9
1996,花蓮縣,花蓮市,民孝里,26,33.6,78.4,33.4,4.5,民孝里常民生活與社區商業,32,2,18,226911000,22691.1,7090968,364752.9
1996,花蓮縣,花蓮市,民德里,14,20.0,77.4,32.2,4.9,民德里常民生活與社區商業,14,0,6,14619000,1461.9,1044214,129369.5
1996,花蓮縣,花蓮市,民心里,78,123.3,82.7,38.6,4.5,民心里常民生活與社區商業,80,1,74,1273337500,127333.8,15916718,1330867.0
1996,花蓮縣,花蓮市,民意里,11,20.0,77.1,31.9,4.1,民意里常民生活與社區商業,11,1,7,240770000,24077.0,21888181,148561.6
1996,花蓮縣,花蓮市,民政里,28,31.3,78.5,33.6,4.1,民政里常民生活與社區商業,28,2,15,90426848,9042.7,3229530,301134.1
1996,花蓮縣,花蓮市,民族里,31,37.0,41.0,15.8,12.0,尚未開放（原舊鐵路工務段/空地，夜市在南濱與自強）,34,0,12,247521000,24752.1,7280029,299001.7
1996,花蓮縣,花蓮市,民有里,3,20.0,76.5,31.1,4.1,民有里常民生活與社區商業,3,0,0,106000,10.6,35333,11408.5
1996,花蓮縣,花蓮市,民樂里,3,20.0,76.5,31.1,4.1,民樂里常民生活與社區商業,3,0,0,133000,13.3,44333,11410.6
1996,花蓮縣,花蓮市,民權里,5,20.0,76.6,31.3,4.1,民權里常民生活與社區商業,5,0,2,2058000,205.8,411600,44164.6
1996,花蓮縣,花蓮市,民治里,0,20.0,76.2,30.8,4.1,民治里常民生活與社區商業,0,0,0,0,0.0,0,0.0
1996,花蓮縣,花蓮市,民生里,78,171.4,81.5,41.2,5.0,民生里常民生活與社區商業,81,2,21,49231000,4923.1,607790,574238.5
1996,花蓮縣,花蓮市,民立里,7,20.0,76.8,31.5,4.5,民立里常民生活與社區商業,8,1,5,20029000,2002.9,2503625,94502.3
1996,花蓮縣,花蓮市,民運里,47,45.5,80.1,35.5,5.3,民運里常民生活與社區商業,49,4,19,239440000,23944.0,4886530,442855.2
1997,花蓮縣,花蓮市,主信里,29,28.3,79.8,34.5,4.6,主信里常民生活與社區商業,30,1,11,75254000,7525.4,2508466,257520.3
1997,花蓮縣,花蓮市,主力里,74,467.2,107.0,100.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,74,10,47,198899000,19889.9,2687824,884611.9
1997,花蓮縣,花蓮市,主勤里,32,34.6,80.1,34.8,5.0,主勤里常民生活與社區商業,33,2,15,68903000,6890.3,2087969,318412.2
1997,花蓮縣,花蓮市,主和里,36,36.7,80.4,35.2,4.6,主和里常民生活與社區商業,37,3,15,52646000,5264.6,1422864,332311.7
1997,花蓮縣,花蓮市,主商里,39,250.5,107.0,100.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,39,5,22,1042054000,104205.4,26719333,506564.3
1997,花蓮縣,花蓮市,主學里,31,34.1,80.0,34.7,7.4,主學里常民生活與社區商業,31,6,15,20837000,2083.7,672161,306967.0
1997,花蓮縣,花蓮市,主安里,29,31.8,79.8,34.5,6.2,主安里常民生活與社區商業,31,3,14,134517000,13451.7,4339258,303561.4
1997,花蓮縣,花蓮市,主工里,21,143.6,107.0,100.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,21,1,10,8611000,861.1,410047,205488.9
1997,花蓮縣,花蓮市,主權里,59,72.4,82.3,37.5,7.0,主權里常民生活與社區商業,59,6,35,148128000,14812.8,2510644,673550.2
1997,花蓮縣,花蓮市,主睦里,33,31.6,80.2,34.9,5.0,主睦里常民生活與社區商業,33,1,12,80662000,8066.2,2444303,281853.0
1997,花蓮縣,花蓮市,主義里,12,20.0,78.4,32.8,4.2,主義里常民生活與社區商業,13,0,3,4507000,450.7,346692,87260.6
1997,花蓮縣,花蓮市,主計里,16,20.0,78.7,33.2,4.6,主計里常民生活與社區商業,16,0,3,37526000,3752.6,2345375,101302.1
1997,花蓮縣,花蓮市,主農里,35,37.4,80.3,35.1,5.0,主農里常民生活與社區商業,35,3,16,26030000,2603.0,743714,335082.4
1997,花蓮縣,花蓮市,國光里,30,31.2,79.9,34.6,4.6,國光里常民生活與社區商業,30,0,13,36778000,3677.8,1225933,279442.2
1997,花蓮縣,花蓮市,國威里,38,248.1,107.0,100.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,40,0,22,354426000,35442.6,8860650,455354.1
1997,花蓮縣,花蓮市,國安里,26,26.7,79.6,34.2,5.0,國安里常民生活與社區商業,27,3,11,45089000,4508.9,1669962,243707.1
1997,花蓮縣,花蓮市,國富里,69,81.2,83.2,38.5,5.4,國富里常民生活與社區商業,72,8,38,112047900,11204.8,1556220,757563.8
1997,花蓮縣,花蓮市,國強里,18,26.0,78.9,33.4,5.0,國強里常民生活與社區商業,20,0,14,69615000,6961.5,3480750,256569.2
1997,花蓮縣,花蓮市,國慶里,16,21.4,78.7,33.2,4.6,國慶里常民生活與社區商業,16,0,11,2490725745,249072.6,155670359,397558.1
1997,花蓮縣,花蓮市,國治里,26,27.9,79.6,34.2,5.8,國治里常民生活與社區商業,26,3,12,57773400,5777.3,2222053,253421.9
1997,花蓮縣,花蓮市,國盛里,31,38.7,80.0,34.7,8.6,國盛里常民生活與社區商業,39,5,19,115545000,11554.5,2962692,394943.6
1997,花蓮縣,花蓮市,國福里,8,20.0,78.1,32.4,4.6,國福里常民生活與社區商業,8,0,5,11243000,1124.3,1405375,93799.4
1997,花蓮縣,花蓮市,國聯里,76,108.3,83.7,39.2,7.8,國聯里常民生活與社區商業,99,9,58,1526599840,152660.0,15420200,1223328.0
1997,花蓮縣,花蓮市,國興里,18,20.0,78.9,33.4,5.0,國興里常民生活與社區商業,18,3,7,145490000,14549.0,8082777,167539.2
1997,花蓮縣,花蓮市,國華里,29,33.0,79.8,34.5,4.6,國華里常民生活與社區商業,30,1,15,41623000,4162.3,1387433,304829.8
1997,花蓮縣,花蓮市,國裕里,53,75.0,81.8,36.9,5.8,國裕里常民生活與社區商業,65,10,40,918661410,91866.1,14133252,820492.9
1997,花蓮縣,花蓮市,國防里,10,20.0,78.2,32.6,4.2,國防里常民生活與社區商業,12,2,8,18889000,1888.9,1574083,147111.1
1997,花蓮縣,花蓮市,國風里,41,51.1,80.8,35.7,5.4,國風里常民生活與社區商業,42,4,25,119308000,11930.8,2840666,481644.6
1997,花蓮縣,花蓮市,國魂里,25,33.2,79.5,34.1,5.4,國魂里常民生活與社區商業,26,4,17,783479300,78347.9,30133819,373978.3
1997,花蓮縣,花蓮市,民主里,15,41.6,83.0,42.4,5.0,民主里常民生活與社區商業,16,1,2,106484000,10648.4,6655250,94318.7
1997,花蓮縣,花蓮市,民享里,21,24.1,79.2,33.7,5.8,民享里常民生活與社區商業,21,1,11,69029000,6902.9,3287095,222822.3
1997,花蓮縣,花蓮市,民勤里,21,26.4,79.2,33.7,5.0,民勤里常民生活與社區商業,22,4,13,64476400,6447.6,2930745,251258.1
1997,花蓮縣,花蓮市,民孝里,28,37.1,79.7,34.4,4.6,民孝里常民生活與社區商業,34,2,19,227514000,22751.4,6691588,384901.1
1997,花蓮縣,花蓮市,民德里,15,20.0,78.7,33.1,5.0,民德里常民生活與社區商業,15,1,6,14622000,1462.2,974800,133169.8
1997,花蓮縣,花蓮市,民心里,83,137.7,84.3,39.9,4.6,民心里常民生活與社區商業,86,6,80,1394337500,139433.8,16213226,1438347.0
1997,花蓮縣,花蓮市,民意里,13,20.0,78.5,32.9,4.2,民意里常民生活與社區商業,13,2,8,240870000,24087.0,18528461,168669.6
1997,花蓮縣,花蓮市,民政里,29,33.0,79.8,34.5,4.2,民政里常民生活與社區商業,29,1,15,90471848,9047.2,3119718,304937.7
1997,花蓮縣,花蓮市,民族里,33,39.0,42.0,16.6,12.0,尚未開放（原舊鐵路工務段/空地，夜市在南濱與自強）,36,2,13,247541000,24754.1,6876138,319103.3
1997,花蓮縣,花蓮市,民有里,3,20.0,77.7,31.9,4.2,民有里常民生活與社區商業,3,0,0,106000,10.6,35333,11408.5
1997,花蓮縣,花蓮市,民樂里,3,20.0,77.7,31.9,4.2,民樂里常民生活與社區商業,3,0,0,133000,13.3,44333,11410.6
1997,花蓮縣,花蓮市,民權里,5,20.0,77.8,32.1,4.2,民權里常民生活與社區商業,5,0,2,2058000,205.8,411600,44164.6
1997,花蓮縣,花蓮市,民治里,0,20.0,77.4,31.6,4.2,民治里常民生活與社區商業,0,0,0,0,0.0,0,0.0
1997,花蓮縣,花蓮市,民生里,81,189.2,83.0,42.4,5.0,民生里常民生活與社區商業,84,3,23,49490000,4949.0,589166,610659.2
1997,花蓮縣,花蓮市,民立里,10,20.0,78.2,32.6,4.6,民立里常民生活與社區商業,11,3,8,63529000,6352.9,5775363,146882.3
1997,花蓮縣,花蓮市,民運里,48,47.8,81.4,36.4,5.4,民運里常民生活與社區商業,50,1,19,239440000,23944.0,4788800,446655.2
1998,花蓮縣,花蓮市,主信里,32,33.5,81.3,35.6,4.8,主信里常民生活與社區商業,33,3,13,87257000,8725.7,2644151,294880.6
1998,花蓮縣,花蓮市,主力里,76,492.1,110.5,105.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,76,2,47,201399000,20139.9,2649986,892411.9
1998,花蓮縣,花蓮市,主勤里,32,35.9,81.3,35.6,5.2,主勤里常民生活與社區商業,33,0,15,68903000,6890.3,2087969,318412.2
1998,花蓮縣,花蓮市,主和里,39,41.0,81.8,36.3,4.8,主和里常民生活與社區商業,40,3,16,56252000,5625.2,1406300,356500.2
1998,花蓮縣,花蓮市,主商里,40,278.2,110.5,105.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,41,2,23,1042054000,104205.4,25415951,526664.3
1998,花蓮縣,花蓮市,主學里,35,41.2,81.5,35.9,7.6,主學里常民生活與社區商業,35,4,18,77637000,7763.7,2218200,364211.0
1998,花蓮縣,花蓮市,主安里,30,34.8,81.1,35.4,6.4,主安里常民生活與社區商業,32,1,15,135517000,13551.7,4234906,319941.4
1998,花蓮縣,花蓮市,主工里,23,168.5,110.5,105.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,23,2,10,8621000,862.1,374826,213089.7
1998,花蓮縣,花蓮市,主權里,62,77.9,83.8,38.6,7.2,主權里常民生活與社區商業,62,3,36,151137000,15113.7,2437693,697691.0
1998,花蓮縣,花蓮市,主睦里,34,33.4,81.4,35.8,5.2,主睦里常民生活與社區商業,34,1,12,80667000,8066.7,2372558,285653.4
1998,花蓮縣,花蓮市,主義里,12,20.0,79.6,33.6,4.4,主義里常民生活與社區商業,13,0,3,4507000,450.7,346692,87260.6
1998,花蓮縣,花蓮市,主計里,16,20.0,79.9,34.0,4.8,主計里常民生活與社區商業,16,0,3,37526000,3752.6,2345375,101302.1
1998,花蓮縣,花蓮市,主農里,39,43.4,81.8,36.3,5.2,主農里常民生活與社區商業,39,4,18,33293000,3329.3,853666,375863.4
1998,花蓮縣,花蓮市,國光里,32,34.7,81.3,35.6,4.8,國光里常民生活與社區商業,32,2,14,36791000,3679.1,1149718,299543.3
1998,花蓮縣,花蓮市,國威里,42,288.4,110.5,105.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,44,4,24,354719000,35471.9,8061795,495577.5
1998,花蓮縣,花蓮市,國安里,27,29.5,80.8,35.1,5.2,國安里常民生活與社區商業,28,1,12,47089000,4708.9,1681750,260167.1
1998,花蓮縣,花蓮市,國富里,76,91.7,84.9,40.0,5.6,國富里常民生活與社區商業,79,7,41,113266900,11326.7,1433758,821761.4
1998,花蓮縣,花蓮市,國強里,18,26.9,80.1,34.2,5.2,國強里常民生活與社區商業,20,0,14,69615000,6961.5,3480750,256569.2
1998,花蓮縣,花蓮市,國慶里,17,23.9,80.0,34.1,4.8,國慶里常民生活與社區商業,17,1,12,2490925745,249092.6,146525043,413874.1
1998,花蓮縣,花蓮市,國治里,29,31.8,81.0,35.3,6.0,國治里常民生活與社區商業,29,3,13,57901400,5790.1,1996600,277332.1
1998,花蓮縣,花蓮市,國盛里,35,46.0,81.5,35.9,8.8,國盛里常民生活與社區商業,43,4,22,125645000,12564.5,2921976,448451.6
1998,花蓮縣,花蓮市,國福里,8,20.0,79.3,33.2,4.8,國福里常民生活與社區商業,8,0,5,11243000,1124.3,1405375,93799.4
1998,花蓮縣,花蓮市,國聯里,83,124.6,85.5,40.7,8.0,國聯里常民生活與社區商業,106,7,65,1549092840,154909.3,14614083,1339227.4
1998,花蓮縣,花蓮市,國興里,21,21.3,80.3,34.5,5.2,國興里常民生活與社區商業,21,3,8,149110000,14911.0,7100476,191728.8
1998,花蓮縣,花蓮市,國華里,29,34.2,81.0,35.3,4.8,國華里常民生活與社區商業,30,0,15,41623000,4162.3,1387433,304829.8
1998,花蓮縣,花蓮市,國裕里,56,84.3,83.3,38.0,6.0,國裕里常民生活與社區商業,70,5,44,978964410,97896.4,13985205,894317.2
1998,花蓮縣,花蓮市,國防里,11,20.0,79.5,33.5,4.4,國防里常民生活與社區商業,13,1,8,18892000,1889.2,1453230,150911.4
1998,花蓮縣,花蓮市,國風里,45,57.6,82.3,36.9,5.6,國風里常民生活與社區商業,46,4,27,119856000,11985.6,2605565,521888.5
1998,花蓮縣,花蓮市,國魂里,27,38.0,80.8,35.1,5.6,國魂里常民生活與社區商業,28,2,19,789479300,78947.9,28195689,407058.3
1998,花蓮縣,花蓮市,民主里,16,50.9,84.5,43.6,5.0,民主里常民生活與社區商業,17,1,2,106487000,10648.7,6263941,98119.0
1998,花蓮縣,花蓮市,民享里,21,24.9,80.3,34.5,6.0,民享里常民生活與社區商業,21,0,11,69029000,6902.9,3287095,222822.3
1998,花蓮縣,花蓮市,民勤里,25,33.2,80.7,34.9,5.2,民勤里常民生活與社區商業,26,4,16,80576400,8057.6,3099092,305246.1
1998,花蓮縣,花蓮市,民孝里,31,43.8,81.2,35.5,4.8,民孝里常民生活與社區商業,43,9,22,235314000,23531.4,5472418,457225.1
1998,花蓮縣,花蓮市,民德里,17,20.0,80.0,34.1,5.2,民德里常民生活與社區商業,17,2,7,14642000,1464.2,861294,153271.4
1998,花蓮縣,花蓮市,民心里,87,149.8,85.8,41.1,4.8,民心里常民生活與社區商業,90,4,84,1450337500,145033.8,16114861,1508027.0
1998,花蓮縣,花蓮市,民意里,14,20.0,79.8,33.8,4.4,民意里常民生活與社區商業,14,1,9,241870000,24187.0,17276428,185049.6
1998,花蓮縣,花蓮市,民政里,31,39.0,81.2,35.5,4.4,民政里常民生活與社區商業,32,3,18,109471848,10947.2,3420995,355357.7
1998,花蓮縣,花蓮市,民族里,35,41.0,43.0,17.4,12.0,尚未開放（原舊鐵路工務段/空地，夜市在南濱與自強）,38,2,14,297546000,29754.6,7830157,343203.7
1998,花蓮縣,花蓮市,民有里,3,20.0,78.8,32.7,4.4,民有里常民生活與社區商業,3,0,0,106000,10.6,35333,11408.5
1998,花蓮縣,花蓮市,民樂里,4,20.0,78.9,32.8,4.4,民樂里常民生活與社區商業,4,1,1,20133000,2013.3,5033250,29310.6
1998,花蓮縣,花蓮市,民權里,5,20.0,79.0,32.9,4.4,民權里常民生活與社區商業,5,0,2,2058000,205.8,411600,44164.6
1998,花蓮縣,花蓮市,民治里,0,20.0,78.6,32.4,4.4,民治里常民生活與社區商業,0,0,0,0,0.0,0,0.0
1998,花蓮縣,花蓮市,民生里,82,201.4,84.5,43.6,5.0,民生里常民生活與社區商業,85,1,24,78990000,7899.0,929294,629319.2
